ENSG	GeneName	chr	GeneStart	GeneEnd	NCBI	HGNC	partition	omim
ENSG00000163737	PF4	4	73980811	73982027	5196	HGNC:8861	8	
ENSG00000167302	TEPSIN	17	81228277	81239091	146705	HGNC:26458	3	
ENSG00000183688	RFLNB	17	439978	445939	359845	HGNC:28705	10	
ENSG00000128604	IRF5	7	128937457	128950038	3663	HGNC:6120	7	cmdg
ENSG00000149328	GLB1L2	11	134331988	134378341	89944	HGNC:25129	2	
ENSG00000214013	GANC	15	42273201	42353666	2595	HGNC:4139	8	
ENSG00000162592	CCDC27	1	3746460	3771645	148870	HGNC:26546	6	
ENSG00000185774	KCNIP4	4	20728606	21948772	80333	HGNC:30083	4	
ENSG00000120925	RNF170	8	42849637	42897290	81790	HGNC:25358	9	mmdg
ENSG00000174225	ARL13A	X	100969708	100990831	392509	HGNC:31709	5	
ENSG00000197249	SERPINA1	14	94376747	94390693	5265	HGNC:8941	1	mmdg
ENSG00000134853	PDGFRA	4	54229280	54298245	5156	HGNC:8803	5	mmdg, non_mdg
ENSG00000197763	TXNRD3	3	126571779	126655124	114112	HGNC:20667	5	
ENSG00000135226	UGT2B28	4	69280475	69295050	54490	HGNC:13479	3	
ENSG00000179564	LSMEM2	3	50279087	50288114	132228	HGNC:26781	4	
ENSG00000213079	SCAF8	6	154733378	154834244	22828	HGNC:20959	5	
ENSG00000205413	SAMD9	7	93099513	93118023	54809	HGNC:1348	3	mmdg
ENSG00000143067	ZNF697	1	119619377	119648266	90874	HGNC:32034	9	
ENSG00000135390	ATP5MC2	12	53632726	53677408	517	HGNC:842	9	
ENSG00000107362	ABHD17B	9	71862452	71911193	51104	HGNC:24278	8	
ENSG00000165819	METTL3	14	21498133	21511342	56339	HGNC:17563	10	
ENSG00000148734	NPFFR1	10	70247329	70284004	64106	HGNC:17425	5	
ENSG00000273706	LHX1	17	36936785	36944612	3975	HGNC:6593	8	
ENSG00000168734	PKIG	20	44531785	44624247	11142	HGNC:9019	3	
ENSG00000164741	DLC1	8	13083361	13604610	10395	HGNC:2897	6	non_mdg
ENSG00000164287	CDC20B	5	55112971	55173177	166979	HGNC:24222	10	
ENSG00000124279	FASTKD3	5	7859159	7869037	79072	HGNC:28758	5	
ENSG00000187616	MYMK	9	133514586	133528612	389827	HGNC:33778	10	mmdg
ENSG00000188266	HYKK	15	78507564	78537372	123688	HGNC:34403	9	
ENSG00000128917	DLL4	15	40929340	40939073	54567	HGNC:2910	10	mmdg
ENSG00000179873	NLRP11	19	55785397	55836800	204801	HGNC:22945	8	
ENSG00000117601	SERPINC1	1	173903800	173917327	462	HGNC:775	5	mmdg
ENSG00000148346	LCN2	9	128149071	128153453	3934	HGNC:6526	7	
ENSG00000105135	ILVBL	19	15114984	15125786	10994	HGNC:6041	3	
ENSG00000182310	SPACA6	19	51688346	51712387	147650	HGNC:27113	4	
ENSG00000108821	COL1A1	17	50184101	50201632	1277	HGNC:2197	8	cmdg, mmdg
ENSG00000115008	IL1A	2	112773925	112784493	3552	HGNC:5991	6	
ENSG00000244274	DBNDD2	20	45406057	45410610	55861	HGNC:15881	3	
ENSG00000263961	RHEX	1	206053173	206102449	440712	HGNC:25341	4	
ENSG00000107593	PKD2L1	10	100288149	100330264	9033	HGNC:9011	1	
ENSG00000118894	EEF2KMT	16	5084284	5097795	196483	HGNC:32221	3	
ENSG00000141497	ZMYND15	17	4739833	4746119	84225	HGNC:20997	2	mmdg
ENSG00000170381	SEMA3E	7	83363238	83649139	9723	HGNC:10727	3	
ENSG00000112139	MDGA1	6	37630679	37699306	266727	HGNC:19267	1	
ENSG00000140326	CDAN1	15	42723544	42737128	146059	HGNC:1713	4	mmdg
ENSG00000198062	POTEH	22	15690026	15721631	23784	HGNC:133	8	
ENSG00000183580	FBXL7	5	15500180	15939795	23194	HGNC:13604	5	
ENSG00000244165	P2RY11	19	10111693	10115372	5032	HGNC:8540	5	
ENSG00000188582	PAQR9	3	142949164	142963674	344838	HGNC:30131	5	
ENSG00000111786	SRSF9	12	120461672	120495946	8683	HGNC:10791	3	
ENSG00000110900	TSPAN11	12	30926428	30996602	441631	HGNC:30795	8	
ENSG00000162755	KLHDC9	1	161098361	161100346	126823	HGNC:28489	2	
ENSG00000156384	SFR1	10	104122058	104126385	119392	HGNC:29574	6	
ENSG00000179021	C3orf38	3	88149959	88168729	285237	HGNC:28384	1	
ENSG00000110079	MS4A4A	11	60185657	60318080	51338	HGNC:13371	10	
ENSG00000180205	WFDC9	20	45607939	45631284	259240	HGNC:20380	9	
ENSG00000103044	HAS3	16	69105653	69118719	3038	HGNC:4820	10	
ENSG00000142892	PIGK	1	77088989	77219430	10026	HGNC:8965	8	mmdg
ENSG00000131746	TNS4	17	40475828	40501623	84951	HGNC:24352	5	
ENSG00000103356	EARS2	16	23520754	23557731	124454	HGNC:29419	8	mmdg
ENSG00000007923	DNAJC11	1	6634168	6701924	55735	HGNC:25570	7	
ENSG00000026508	CD44	11	35138882	35232402	960	HGNC:1681	4	cmdg
ENSG00000271503	CCL5	17	35871491	35880793	6352	HGNC:10632	6	cmdg
ENSG00000159307	SCUBE1	22	43197280	43343372	80274	HGNC:13441	10	
ENSG00000214654	B3GALT9	9	120792403	120801787	100288842	HGNC:53652	10	
ENSG00000181754	AMIGO1	1	109504178	109509738	57463	HGNC:20824	10	
ENSG00000113302	IL12B	5	159314780	159330863	3593	HGNC:5970	3	mmdg
ENSG00000064655	EYA2	20	46894624	47188844	2139	HGNC:3520	1	
ENSG00000047365	ARAP2	4	35948221	36244514	116984	HGNC:16924	1	
ENSG00000127903	ZNF835	19	56661980	56671783	90485	HGNC:34332	7	
ENSG00000168447	SCNN1B	16	23278231	23381294	6338	HGNC:10600	6	mmdg
ENSG00000141101	NOB1	16	69741871	69754926	28987	HGNC:29540	2	
ENSG00000137080	IFNA21	9	21165637	21166660	3452	HGNC:5424	5	
ENSG00000137692	DCUN1D5	11	103050686	103092194	84259	HGNC:28409	6	
ENSG00000156219	ART3	4	76011184	76114048	419	HGNC:725	8	
ENSG00000205279	CTXN3	5	127649082	127658630	613212	HGNC:31110	3	
ENSG00000204120	GIGYF2	2	232697299	232860605	26058	HGNC:11960	10	cmdg
ENSG00000109738	GLRB	4	157076125	157172090	2743	HGNC:4329	5	mmdg
ENSG00000143971	ETAA1	2	67397322	67412089	54465	HGNC:24648	6	
ENSG00000196834	POTEI	2	130459455	130509707	653269	HGNC:37093	1	
ENSG00000115468	EFHD1	2	232606057	232682776	80303	HGNC:29556	9	
ENSG00000204880	KRTAP4-8	17	41096981	41098142	728224	HGNC:17230	8	
ENSG00000111907	TPD52L1	6	125119049	125264407	7164	HGNC:12006	2	
ENSG00000172519	OR10H5	19	15787661	15800357	284433	HGNC:15389	5	
ENSG00000115255	REEP6	19	1491166	1497927	92840	HGNC:30078	7	mmdg
ENSG00000197403	OR6N1	1	158747814	158772195	128372	HGNC:15034	10	
ENSG00000143278	F13B	1	197038741	197067260	2165	HGNC:3534	10	mmdg
ENSG00000256870	SLC5A8	12	101155493	101210238	160728	HGNC:19119	3	
ENSG00000284491	THSD8	19	12802031	12813581	111644133	HGNC:53785	9	
ENSG00000165886	UBTD1	10	97498924	97571206	80019	HGNC:25683	1	
ENSG00000167470	MIDN	19	1248553	1259143	90007	HGNC:16298	6	
ENSG00000072071	ADGRL1	19	14147743	14206187	22859	HGNC:20973	3	mmdg
ENSG00000107821	KAZALD1	10	101061989	101068131	81621	HGNC:25460	10	
ENSG00000269433	OPN1MW3	X	154257582	154271090	101060233	HGNC:51831	2	
ENSG00000230347	CT47A8	X	120948422	120951744	728049	HGNC:33289	2	
ENSG00000107862	GBF1	10	102245371	102382899	8729	HGNC:4181	8	mmdg
ENSG00000136942	RPL35	9	124857880	124861981	11224	HGNC:10344	5	mmdg
ENSG00000196967	ZNF585A	19	37106734	37172741	199704	HGNC:26305	7	
ENSG00000134283	PPHLN1	12	42238447	42459715	51535	HGNC:19369	9	
ENSG00000140107	SLC25A47	14	100323339	100330421	283600	HGNC:20115	1	
ENSG00000147130	ZMYM3	X	71239624	71255146	9203	HGNC:13054	5	mmdg
ENSG00000132530	XAF1	17	6755447	6775647	54739	HGNC:30932	10	
ENSG00000131876	SNRPA1	15	101281510	101295282	6627	HGNC:11152	3	
ENSG00000075426	FOSL2	2	28392448	28417317	2355	HGNC:3798	5	mmdg
ENSG00000162139	NEU3	11	74988279	75018893	10825	HGNC:7760	5	
ENSG00000076984	MAP2K7	19	7903843	7914478	5609	HGNC:6847	5	
ENSG00000120693	SMAD9	13	36844831	36920887	4093	HGNC:6774	2	mmdg
ENSG00000130203	APOE	19	44905791	44909393	348	HGNC:613	6	cmdg, mmdg
ENSG00000109272	PF4V1	4	73853296	73854483	5197	HGNC:8862	6	
ENSG00000109320	NFKB1	4	102501330	102617302	4790	HGNC:7794	9	mmdg
ENSG00000006555	TTC22	1	54779712	54801323	55001	HGNC:26067	1	
ENSG00000175309	PHYKPL	5	178208471	178232802	85007	HGNC:28249	9	cmdg
ENSG00000070423	RNF126	19	647526	663233	55658	HGNC:21151	5	
ENSG00000109466	KLHL2	4	165207561	165323156	11275	HGNC:6353	6	
ENSG00000214140	PRCD	17	76527586	76553578	768206	HGNC:32528	5	mmdg
ENSG00000070785	EIF2B3	1	44850522	44986722	8891	HGNC:3259	3	mmdg
ENSG00000162300	ZFPL1	11	65084210	65088398	7542	HGNC:12868	9	
ENSG00000141627	DYM	18	49036387	49461347	54808	HGNC:21317	5	mmdg
ENSG00000176769	TCERG1L	10	131092391	131311721	256536	HGNC:23533	2	
ENSG00000249961	TERB1	16	66754640	66801620	283847	HGNC:26675	1	mmdg
ENSG00000168268	NT5DC2	3	52524385	52535054	64943	HGNC:25717	3	
ENSG00000147465	STAR	8	38142700	38150992	6770	HGNC:11359	8	mmdg
ENSG00000149635	OCSTAMP	20	46540946	46550654	128506	HGNC:16116	10	
ENSG00000248712	CCDC153	11	119190250	119196769	283152	HGNC:27446	1	
ENSG00000183734	ASCL2	11	2268498	2270588	430	HGNC:739	10	
ENSG00000174611	KY	3	134599923	134651636	339855	HGNC:26576	3	mmdg
ENSG00000005189	REXO5	16	20806429	20849665	81691	HGNC:24661	1	
ENSG00000127914	AKAP9	7	91940840	92110673	10142	HGNC:379	10	mmdg
ENSG00000125434	SLC25A35	17	8287763	8295400	399512	HGNC:31921	3	
ENSG00000161800	RACGAP1	12	49976923	50033136	29127	HGNC:9804	1	mmdg
ENSG00000130449	ZSWIM6	5	61332258	61546172	57688	HGNC:29316	5	mmdg
ENSG00000198839	ZNF277	7	112206695	112343934	11179	HGNC:13070	3	
ENSG00000148704	VAX1	10	117128521	117138301	11023	HGNC:12660	10	mmdg
ENSG00000005102	MEOX1	17	43640389	43661922	4222	HGNC:7013	8	mmdg
ENSG00000008323	PLEKHG6	12	6310436	6328506	55200	HGNC:25562	7	
ENSG00000227471	AKR1B15	7	134549110	134579875	441282	HGNC:37281	5	
ENSG00000110318	CEP126	11	101915010	102001062	57562	HGNC:29264	5	
ENSG00000183560	IZUMO1R	11	94304580	94308146	390243	HGNC:32565	4	
ENSG00000237671	GAGE12C	X	49532177	49539538	729422	HGNC:28402	3	
ENSG00000120051	CFAP58	10	104353833	104455102	159686	HGNC:26676	9	mmdg
ENSG00000197943	PLCG2	16	81779279	81962685	5336	HGNC:9066	10	mmdg
ENSG00000122557	HERPUD2	7	35632659	35697459	64224	HGNC:21915	8	
ENSG00000169884	WNT10B	12	48965340	48971735	7480	HGNC:12775	4	mmdg
ENSG00000144744	UBA3	3	69054730	69080408	9039	HGNC:12470	2	
ENSG00000006194	ZNF263	16	3283283	3301401	10127	HGNC:13056	7	
ENSG00000161791	FMNL3	12	49636499	49708165	91010	HGNC:23698	3	
ENSG00000276043	UHRF1	19	4903080	4962154	29128	HGNC:12556	6	
ENSG00000152154	TMEM178A	2	39664982	39717963	130733	HGNC:28517	2	
ENSG00000166997	CNPY4	7	100119634	100125508	245812	HGNC:28631	7	
ENSG00000175197	DDIT3	12	57516588	57521737	1649	HGNC:2726	5	
ENSG00000179909	ZNF154	19	57696275	57709204	7710	HGNC:12939	6	
ENSG00000110446	SLC15A3	11	60937060	60952653	51296	HGNC:18068	7	
ENSG00000163606	CD200R1	3	112921205	112975103	131450	HGNC:24235	2	
ENSG00000232125	DYTN	2	206651621	206721570	391475	HGNC:23279	8	
ENSG00000107960	STN1	10	103856806	103918332	79991	HGNC:26200	6	mmdg
ENSG00000166439	RNF169	11	74748849	74842413	254225	HGNC:26961	2	
ENSG00000197540	GZMM	19	544034	549924	3004	HGNC:4712	2	
ENSG00000178971	CTC1	17	8224815	8248058	80169	HGNC:26169	6	mmdg
ENSG00000169814	BTD	3	15601341	15722311	686	HGNC:1122	8	mmdg
ENSG00000121621	KIF18A	11	28020619	28108156	81930	HGNC:29441	9	
ENSG00000205362	MT1A	16	56638666	56640087	4489	HGNC:7393	8	
ENSG00000117983	MUC5B	11	1223066	1262172	727897	HGNC:7516	3	cmdg
ENSG00000224578	HNRNPA1L3	16	51553436	51647132	642659	HGNC:48778	1	
ENSG00000123405	NFE2	12	54292111	54301015	4778	HGNC:7780	1	
ENSG00000135973	GPR45	2	105241743	105243467	11250	HGNC:4503	8	
ENSG00000157578	LCA5L	21	39405728	39445805	150082	HGNC:1255	3	
ENSG00000187682	ERAS	X	48826513	48830138	3266	HGNC:5174	5	
ENSG00000106006	HOXA6	7	27145396	27150603	3203	HGNC:5107	3	
ENSG00000132676	DAP3	1	155687960	155739010	7818	HGNC:2673	8	
ENSG00000001626	CFTR	7	117287120	117715971	1080	HGNC:1884	10	cmdg, mmdg
ENSG00000185127	C6orf120	6	169702126	169706360	387263	HGNC:21247	1	
ENSG00000272573	MUSTN1	3	52833114	52835019	389125	HGNC:22144	2	
ENSG00000205581	HMGN1	21	39342315	39349647	3150	HGNC:4984	10	
ENSG00000160401	CFAP157	9	127706988	127716002	286207	HGNC:27843	4	
ENSG00000143702	CEP170	1	243124428	243255348	9859	HGNC:28920	10	
ENSG00000104960	PTOV1	19	49850735	49860744	53635	HGNC:9632	9	
ENSG00000221837	KRTAP10-9	21	44627093	44628378	386676	HGNC:22971	7	
ENSG00000168918	INPP5D	2	233059967	233207903	3635	HGNC:6079	4	
ENSG00000128311	TST	22	37010859	37020183	7263	HGNC:12388	2	
ENSG00000136918	WDR38	9	124853417	124857890	401551	HGNC:23745	3	
ENSG00000115053	NCL	2	231453531	231483641	4691	HGNC:7667	8	
ENSG00000273559	CWC25	17	38800441	38825355	54883	HGNC:25989	10	
ENSG00000115207	GTF3C2	2	27325849	27356999	2976	HGNC:4665	1	
ENSG00000141424	SLC39A6	18	36108531	36129385	25800	HGNC:18607	3	
ENSG00000001084	GCLC	6	53497341	53616970	2729	HGNC:4311	4	cmdg, mmdg
ENSG00000152591	DSPP	4	87608529	87616873	1834	HGNC:3054	3	mmdg
ENSG00000103342	GSPT1	16	11868128	11916082	2935	HGNC:4621	6	
ENSG00000168679	SLC16A4	1	110362851	110391082	9122	HGNC:10925	3	
ENSG00000075234	TTC38	22	46267961	46294008	55020	HGNC:26082	6	
ENSG00000011376	LARS2	3	45388561	45554726	23395	HGNC:17095	6	mmdg
ENSG00000159899	NPR2	9	35791003	35809732	4882	HGNC:7944	4	mmdg
ENSG00000135314	KHDC1	6	73241314	73310365	80759	HGNC:21366	4	
ENSG00000102755	FLT1	13	28300346	28495145	2321	HGNC:3763	1	
ENSG00000197123	ZNF679	7	64228474	64266931	168417	HGNC:28650	3	
ENSG00000187701	OR2T27	1	248649838	248655528	403239	HGNC:31252	5	
ENSG00000118640	VAMP8	2	85561562	85582031	8673	HGNC:12647	6	
ENSG00000136870	ZNF189	9	101398851	101410660	7743	HGNC:12980	3	
ENSG00000081791	DELE1	5	141923855	141942047	9812	HGNC:28969	2	
ENSG00000154767	XPC	3	14145147	14178621	7508	HGNC:12816	6	mmdg
ENSG00000146038	DCDC2	6	24171755	24358059	51473	HGNC:18141	5	mmdg
ENSG00000124089	MC3R	20	56248732	56249815	4159	HGNC:6931	1	cmdg
ENSG00000106258	CYP3A5	7	99648194	99679996	1577	HGNC:2638	4	cmdg
ENSG00000198353	HOXC4	12	54016931	54056030	3221	HGNC:5126	7	
ENSG00000143595	AQP10	1	154321090	154325325	89872	HGNC:16029	10	
ENSG00000176973	FAM89B	11	65572349	65574198	23625	HGNC:16708	3	
ENSG00000179455	MKRN3	15	23565674	23630075	7681	HGNC:7114	2	mmdg
ENSG00000187498	COL4A1	13	110148963	110307157	1282	HGNC:2202	3	cmdg, mmdg
ENSG00000152254	G6PC2	2	168901291	168910000	57818	HGNC:28906	5	
ENSG00000144843	ADPRH	3	119579268	119589945	141	HGNC:269	4	
ENSG00000106484	MEST	7	130486171	130506465	4232	HGNC:7028	2	
ENSG00000132182	NUP210	3	13316235	13420322	23225	HGNC:30052	1	
ENSG00000198642	KLHL9	9	21329665	21335404	55958	HGNC:18732	3	
ENSG00000118418	HMGN3	6	79201245	79234689	9324	HGNC:12312	7	
ENSG00000173699	SPATA3	2	230990324	231025055	130560	HGNC:17884	3	
ENSG00000173065	FAM222B	17	28755980	28855232	55731	HGNC:25563	1	
ENSG00000172809	RPL38	17	74203582	74210655	6169	HGNC:10349	6	
ENSG00000100519	PSMC6	14	52707178	52728590	5706	HGNC:9553	7	
ENSG00000076554	TPD52	8	80034745	80231232	7163	HGNC:12005	3	
ENSG00000198674	OR10G6	11	123994163	123995161	79490	HGNC:14836	10	
ENSG00000230989	HSBP1	16	83719311	83819737	3281	HGNC:5203	7	
ENSG00000178217	SH2D4B	10	80537902	80646560	387694	HGNC:31440	7	
ENSG00000153558	FBXL2	3	33277025	33403662	25827	HGNC:13598	2	
ENSG00000213160	KLHL23	2	169694488	169776989	151230	HGNC:27506	1	
ENSG00000164400	CSF2	5	132073789	132076170	1437	HGNC:2434	3	
ENSG00000158987	RAPGEF6	5	131423921	131635231	51735	HGNC:20655	9	
ENSG00000273045	C2orf15	2	99141707	99151669	150590	HGNC:28436	8	
ENSG00000149932	TMEM219	16	29940885	29973050	124446	HGNC:25201	9	
ENSG00000149781	FERMT3	11	64205926	64223896	83706	HGNC:23151	7	mmdg
ENSG00000212658	KRTAP29-1	17	41301826	41302851	100533177	HGNC:34211	7	
ENSG00000133731	IMPA1	8	81656914	81686331	3612	HGNC:6050	3	mmdg
ENSG00000171446	KRT27	17	40776808	40782550	342574	HGNC:30841	10	
ENSG00000065833	ME1	6	83210402	83431051	4199	HGNC:6983	5	
ENSG00000009307	CSDE1	1	114716913	114758676	7812	HGNC:29905	1	
ENSG00000174579	MSL2	3	136148917	136197241	55167	HGNC:25544	4	mmdg
ENSG00000104611	SH2D4A	8	19313693	19396218	63898	HGNC:26102	1	
ENSG00000100234	TIMP3	22	32801705	32863041	7078	HGNC:11822	2	mmdg
ENSG00000083828	ZNF586	19	57769655	57819939	54807	HGNC:25949	9	
ENSG00000135346	CGA	6	87085498	87095106	1081	HGNC:1885	3	
ENSG00000146352	CLVS2	6	122996235	123072925	134829	HGNC:23046	9	
ENSG00000198894	CIPC	14	77098126	77117287	85457	HGNC:20365	1	
ENSG00000111711	GOLT1B	12	21501781	21518408	51026	HGNC:20175	4	
ENSG00000168802	CHTF8	16	69118010	69132588	54921	HGNC:24353	1	
ENSG00000255359	CCDC179	11	22846922	22860474	100500938	HGNC:44653	1	
ENSG00000130518	IQCN	19	18257098	18274500	80726	HGNC:29350	3	mmdg
ENSG00000088812	ATRN	20	3471018	3651118	8455	HGNC:885	8	
ENSG00000088992	TESC	12	117038923	117099479	54997	HGNC:26065	10	
ENSG00000172243	CLEC7A	12	10116777	10130258	64581	HGNC:14558	7	cmdg, mmdg
ENSG00000181104	F2R	5	76716126	76735770	2149	HGNC:3537	6	
ENSG00000197121	PGAP1	2	196833004	196927796	80055	HGNC:25712	4	mmdg
ENSG00000085491	SLC25A24	1	108134043	108200849	29957	HGNC:20662	6	mmdg
ENSG00000171763	AFG2B	15	45402336	45421415	79029	HGNC:28762	6	mmdg
ENSG00000196358	NTNG2	9	132162058	132244526	84628	HGNC:14288	6	mmdg
ENSG00000087116	ADAMTS2	5	179110853	179345461	9509	HGNC:218	9	mmdg
ENSG00000158828	PINK1	1	20633458	20651511	65018	HGNC:14581	7	mmdg
ENSG00000074410	CA12	15	63321378	63381846	771	HGNC:1371	8	mmdg
ENSG00000174844	DNAH12	3	57293699	57544344	201625	HGNC:2943	10	
ENSG00000185522	LMNTD2	11	554850	560738	256329	HGNC:28561	5	
ENSG00000148484	RSU1	10	16590611	16817463	6251	HGNC:10464	2	
ENSG00000120725	SIL1	5	138946724	139293557	64374	HGNC:24624	7	mmdg
ENSG00000185453	ZSWIM9	19	48170680	48197620	374920	HGNC:34495	2	
ENSG00000179044	EXOC3L1	16	67184379	67190185	283849	HGNC:27540	3	
ENSG00000111647	BLTP3B	12	100028455	100142874	23074	HGNC:29102	8	
ENSG00000119636	BBOF1	14	74019349	74082863	80127	HGNC:19855	10	
ENSG00000158485	CD1B	1	158327951	158331531	910	HGNC:1635	8	
ENSG00000170298	LGALS9B	17	20449395	20467539	284194	HGNC:24842	8	
ENSG00000147481	SNTG1	8	49909789	50796692	54212	HGNC:13740	5	
ENSG00000131236	CAP1	1	40040233	40072649	10487	HGNC:20040	1	
ENSG00000101400	SNTA1	20	33407957	33443763	6640	HGNC:11167	1	mmdg
ENSG00000182712	CMC4	X	155061622	155071136	100272147	HGNC:35428	9	
ENSG00000145335	SNCA	4	89700345	89838315	6622	HGNC:11138	7	mmdg
ENSG00000127870	RNF6	13	26132115	26222314	6049	HGNC:10069	8	non_mdg
ENSG00000148925	BTBD10	11	13388008	13463297	84280	HGNC:21445	9	
ENSG00000138646	HERC5	4	88457119	88506163	51191	HGNC:24368	1	
ENSG00000139194	RBP5	12	7115736	7128889	83758	HGNC:15847	3	
ENSG00000259431	THTPA	14	23555988	23560271	79178	HGNC:18987	3	
ENSG00000175182	FAM131A	3	184335926	184348421	131408	HGNC:28308	1	
ENSG00000107201	RIGI	9	32455302	32526208	23586	HGNC:19102	10	mmdg
ENSG00000161618	ALDH16A1	19	49453225	49471050	126133	HGNC:28114	3	
ENSG00000213563	C8orf82	8	144525733	144529132	414919	HGNC:33826	2	
ENSG00000125375	DMAC2L	14	50312324	50335558	27109	HGNC:18799	1	
ENSG00000146410	MTFR2	6	136231024	136250335	113115	HGNC:21115	9	
ENSG00000163319	MRPS18C	4	83455932	83469735	51023	HGNC:16633	10	
ENSG00000159346	ADIPOR1	1	202940826	202958572	51094	HGNC:24040	5	
ENSG00000181698	OR5T1	11	56274154	56276819	390155	HGNC:14821	9	
ENSG00000167346	MMP26	11	4704784	4992431	56547	HGNC:14249	4	
ENSG00000181418	DDN	12	48995149	48999375	23109	HGNC:24458	8	
ENSG00000239389	PCDHA13	5	140882124	141012347	56136	HGNC:8667	5	
ENSG00000196118	CFAP119	16	30757423	30762221	90835	HGNC:28078	10	
ENSG00000107736	CDH23	10	71396920	71815947	64072	HGNC:13733	1	cmdg, mmdg
ENSG00000177873	ZNF619	3	40477113	40491053	285267	HGNC:26910	3	
ENSG00000185523	SPATA45	1	212830141	212847649	149643	HGNC:33709	10	
ENSG00000148225	WDR31	9	113313222	113340298	114987	HGNC:21421	7	
ENSG00000185736	ADARB2	10	1177313	1737525	105	HGNC:227	7	
ENSG00000107295	SH3GL2	9	17579066	17797124	6456	HGNC:10831	1	
ENSG00000181790	ADGRB1	8	142449430	142545009	575	HGNC:943	9	
ENSG00000136897	MRPL50	9	101387633	101398618	54534	HGNC:16654	2	
ENSG00000070214	SLC44A1	9	105244622	105439171	23446	HGNC:18798	7	mmdg
ENSG00000168995	SIGLEC7	19	51142299	51153526	27036	HGNC:10876	8	
ENSG00000169379	ARL13B	3	93980139	94055678	200894	HGNC:25419	8	mmdg
ENSG00000134824	FADS2	11	61792980	61867354	9415	HGNC:3575	2	
ENSG00000197461	PDGFA	7	497258	520296	5154	HGNC:8799	7	
ENSG00000196344	ADH7	4	99412261	99435510	131	HGNC:256	2	
ENSG00000182070	OR52A1	11	5146824	5154757	23538	HGNC:8318	10	
ENSG00000105722	ERF	19	42247569	42255128	2077	HGNC:3444	7	mmdg
ENSG00000135047	CTSL	9	87724051	87731469	1514	HGNC:2537	7	
ENSG00000144406	UNC80	2	209771832	209999300	285175	HGNC:26582	5	mmdg
ENSG00000182704	TSKU	11	76782251	76798153	25987	HGNC:28850	1	
ENSG00000167791	CABP2	11	67518912	67524517	51475	HGNC:1385	6	mmdg
ENSG00000181927	OR4P4	11	55635113	55640309	81300	HGNC:15180	4	
ENSG00000165637	VDAC2	10	75210154	75231448	7417	HGNC:12672	2	
ENSG00000125503	PPP1R12C	19	55090914	55117637	54776	HGNC:14947	2	
ENSG00000272047	GTF2H5	6	158168350	158199344	404672	HGNC:21157	3	mmdg
ENSG00000164050	PLXNB1	3	48403854	48430086	5364	HGNC:9103	1	
ENSG00000141449	GREB1L	18	21242232	21526112	80000	HGNC:31042	6	mmdg
ENSG00000064545	TMEM161A	19	19119169	19138513	54929	HGNC:26020	9	
ENSG00000182870	GALNT9	12	132196372	132329589	50614	HGNC:4131	5	
ENSG00000164330	EBF1	5	158695920	159099916	1879	HGNC:3126	10	
ENSG00000156535	CD109	6	73695785	73828316	135228	HGNC:21685	10	
ENSG00000163913	IFT122	3	129429607	129520510	55764	HGNC:13556	8	mmdg
ENSG00000119147	ECRG4	2	106063246	106078155	84417	HGNC:24642	3	
ENSG00000255307	OR52B2	11	6169355	6170326	255725	HGNC:15207	9	
ENSG00000203909	DPPA5	6	73353063	73354276	340168	HGNC:19201	5	
ENSG00000132874	SLC14A2	18	45212995	45683688	8170	HGNC:10919	10	
ENSG00000104859	CLASRP	19	45039045	45070956	11129	HGNC:17731	3	
ENSG00000068781	STON1-GTF2A1L	2	48529925	48776517	286749	HGNC:30651	6	
ENSG00000139055	ERP27	12	14914039	14938537	121506	HGNC:26495	7	
ENSG00000178026	LRRC75B	22	24585620	24593208	388886	HGNC:33155	1	
ENSG00000275113	GAGE2E	X	49341192	49345922	729428	HGNC:31960	1	
ENSG00000269699	ZIM2	19	56774547	56840731	23619	HGNC:12875	8	
ENSG00000143816	WNT9A	1	227918656	227947932	7483	HGNC:12778	4	
ENSG00000233493	TMEM238	19	55379244	55384292	388564	HGNC:40042	5	
ENSG00000130513	GDF15	19	18374731	18389176	9518	HGNC:30142	2	cmdg
ENSG00000204252	HLA-DOA	6	33004182	33009591	3111	HGNC:4936	4	
ENSG00000137674	MMP20	11	102576832	102625332	9313	HGNC:7167	4	mmdg
ENSG00000197894	ADH5	4	99070978	99088801	128	HGNC:253	4	mmdg
ENSG00000175426	PCSK1	5	96390333	96434143	5122	HGNC:8743	8	cmdg, mmdg
ENSG00000198743	SLC5A3	21	34073578	34106260	6526	HGNC:11038	1	
ENSG00000197959	DNM3	1	171817887	172418466	26052	HGNC:29125	8	
ENSG00000259112	NDUFC2-KCTD14	11	78016971	78079865	100532726	HGNC:42956	1	
ENSG00000118492	ADGB	6	146598967	146815462	79747	HGNC:21212	1	
ENSG00000064225	ST3GAL6	3	98732236	98821201	10402	HGNC:18080	4	
ENSG00000160007	ARHGAP35	19	46860997	47005077	2909	HGNC:4591	7	
ENSG00000168101	NUDT16L1	16	4693562	4695859	84309	HGNC:28154	2	
ENSG00000126246	IGFLR1	19	35738801	35742453	79713	HGNC:23620	2	
ENSG00000161547	SRSF2	17	76734115	76737333	6427	HGNC:10783	7	
ENSG00000138161	CUZD1	10	122832158	122846175	50624	HGNC:17937	7	
ENSG00000184162	NR2C2AP	19	19201409	19203414	126382	HGNC:30763	2	
ENSG00000181649	PHLDA2	11	2928273	2929420	7262	HGNC:12385	6	
